citing_doi	year	title	venue	authors
10.3390/ht7030026	2018	Transcriptional Identification of Related Proteins in the Immune System of the Crayfish Procambarus clarkii	Microarrays	Gabina Calderón‐Rosete, Juan Antonio González-Barrios, Manuel Lara-Lozano, Celia Piña-Leyva, Leonardo Rodríguez‐Sosa
10.1109/ucc-companion.2018.00020	2018	Transparent Deployment of Scientific Workflows across Clouds - Kubernetes Approach		Michał Orzechowski, Bartosz Baliś, Krystian Pawlik, Maciej Pawlik, Maciej Malawski
10.1093/nar/gky1255	2018	Unexpected diversity in eukaryotic transcription revealed by the retrotransposon hotspot family of Trypanosoma brucei	Nucleic Acids Research	Francesca Florini, Arunasalam Naguleswaran, Walid H. Gharib, Frédéric Bringaud, Isabel J. Roditi
10.1101/431429	2018	Vertical and horizontal integration of multi-omics data with miodin	bioRxiv (Cold Spring Harbor Laboratory)	Benjamin Ulfenborg
10.1101/468421	2018	WUSCHEL acts as a rheostat on the auxin pathway to maintain apical stem cells in Arabidopsis	bioRxiv (Cold Spring Harbor Laboratory)	Yanfei Ma, Andrej Miotk, Zoran Šutiković, Anna Medzihradszky, Christian Wenzl, Olga Ermakova, Christophe Gaillochet, Joachim Forner, Gözde Utan, Klaus Brackmann, Carlos S. Galván-Ampudia, Teva Vernoux, Thomas Greb, Jan U. Lohmann
10.1002/cpmb.69	2018	Whole Genome Next‐Generation Sequencing Mutation Identification in Pseudomonas aeruginosa	Current Protocols in Molecular Biology	Murat Çetinbaş, Shen Yu, Ruslan I. Sadreyev
10.3390/jcm8122107	2019	13-gene DNA Methylation Analysis from Oral Brushing: A Promising Non Invasive Tool in the Follow-up of Oral Cancer Patients	Journal of Clinical Medicine	Davide Bartolomeo Gissi, Achille Tarsitano, Andrea Gabusi, Roberto Rossi, Giuseppe Attardo, Jacopo Lenzi, Claudio Marchetti, Lucio Montebugnoli, Maria Pia Foschini, Luca Morandi
10.3389/fphys.2019.01160	2019	A Computational Pipeline for the Extraction of Actionable Biological Information From NGS-Phage Display Experiments	Frontiers in Physiology	Antonios Vekris, Eleftherios D. Pilalis, Aristotelis A. Chatziioannou, Klaus G. Petry
10.1101/724047	2019	A Galaxy-based training resource for single-cell RNA-seq quality control and analyses	bioRxiv (Cold Spring Harbor Laboratory)	Graham John Etherington, Nicola Soranzo, Suhaib Mohammed, Wilfried Haerty, Robert Davey, Federica Di Palma
10.1093/gigascience/giz144	2019	A Galaxy-based training resource for single-cell RNA-sequencing quality control and analyses	GigaScience	Graham John Etherington, Nicola Soranzo, Suhaib Mohammed, Wilfried Haerty, Robert Davey, Federica Di Palma
