year	package	new_version
2023	biobb_flexserv	4.0.0
2023	biobb_flexserv	4.0.1
2023	biobb_flexserv	4.0.2
2023	biobb_flexserv	4.0.3
2023	biobb_flexserv	4.1.0
2023	biobb_godmd	4.0.0
2023	biobb_godmd	4.0.1
2023	biobb_godmd	4.0.2
2023	biobb_godmd	4.1.0
2023	biobb_gromacs	4.0.0
2023	biobb_gromacs	4.1.0
2023	biobb_gromacs	4.1.1
2023	biobb_io	4.0.0
2023	biobb_io	4.1.0
2023	biobb_ml	4.0.0
2023	biobb_ml	4.1.0
2023	biobb_model	3.9.0
2023	biobb_model	4.0.0
2023	biobb_model	4.0.1
2023	biobb_model	4.1.0
2023	biobb_pdb_tools	4.1.0
2023	biobb_pmx	4.0.0
2023	biobb_pmx	4.1.0
2023	biobb_structure_checking	3.12.0
2023	biobb_structure_checking	3.12.1
2023	biobb_structure_checking	3.13.0
2023	biobb_structure_checking	3.13.2
2023	biobb_structure_checking	3.13.3
2023	biobb_structure_checking	3.13.4
2023	biobb_structure_utils	3.9.0
2023	biobb_structure_utils	4.0.0
2023	biobb_structure_utils	4.1.0
2023	biobb_vs	4.0.0
2023	biobb_vs	4.1.0
2023	biobb_vs	4.1.1
2023	bioblend	1.0.1
2023	bioblend	1.1.1
2023	bioblend	1.2.0
2023	biocantor	1.0.0
2023	biocantor	1.1.0
2023	biocommons.seqrepo	0.6.6
2023	bioconda-repodata-patches	20230228
2023	bioconda-repodata-patches	20230310
2023	bioconda-repodata-patches	20230313
2023	bioconda-repodata-patches	20230414
2023	bioconda-repodata-patches	20230428
2023	bioconda-repodata-patches	20230506
2023	bioconda-repodata-patches	20230907
2023	bioconda-repodata-patches	20230918
2023	bioconda-repodata-patches	20231213
2023	bioconda-utils	1.3.1
2023	bioconda-utils	1.5.0
2023	bioconda-utils	1.5.1
2023	bioconda-utils	1.5.2
2023	bioconda-utils	1.5.3
2023	bioconda-utils	1.5.4
2023	bioconda-utils	1.5.5
2023	bioconda-utils	1.5.6
2023	bioconda-utils	1.5.7
2023	bioconda-utils	1.6.0
2023	bioconda-utils	1.6.2
2023	bioconda-utils	1.7.0
2023	bioconda-utils	1.7.1
2023	bioconda-utils	2.0.0
2023	bioconda-utils	2.1.0
2023	bioconda-utils	2.10.0
2023	bioconda-utils	2.11.0
2023	bioconda-utils	2.11.1
2023	bioconda-utils	2.2.0
2023	bioconda-utils	2.2.1
2023	bioconda-utils	2.3.1
2023	bioconda-utils	2.3.3
2023	bioconda-utils	2.3.4
2023	bioconda-utils	2.4.0
2023	bioconda-utils	2.8.0
2023	bioconda-utils	2.9.0
2023	bioconductor-a4	1.48.0
2023	bioconductor-a4	1.50.0
2023	bioconductor-a4base	1.48.0
2023	bioconductor-a4base	1.50.0
2023	bioconductor-a4classif	1.48.0
2023	bioconductor-a4classif	1.50.0
2023	bioconductor-a4core	1.48.0
2023	bioconductor-a4core	1.50.0
2023	bioconductor-a4preproc	1.48.0
2023	bioconductor-a4preproc	1.50.0
2023	bioconductor-a4reporting	1.48.0
2023	bioconductor-a4reporting	1.50.0
2023	bioconductor-abarray	1.68.0
2023	bioconductor-abarray	1.70.0
2023	bioconductor-abseqr	1.18.0
2023	bioconductor-abseqr	1.20.0
2023	bioconductor-absseq	1.54.0
2023	bioconductor-absseq	1.56.0
2023	bioconductor-acde	1.30.0
2023	bioconductor-acde	1.32.0
2023	bioconductor-ace	1.18.0
2023	bioconductor-ace	1.20.0
2023	bioconductor-acgh	1.78.0
2023	bioconductor-acgh	1.80.0
2023	bioconductor-acme	2.56.0
2023	bioconductor-acme	2.58.0
2023	bioconductor-adacgh2	2.40.0
2023	bioconductor-adacgh2	2.42.0
2023	bioconductor-adam	1.16.0
2023	bioconductor-adam	1.18.0
2023	bioconductor-adamgui	1.16.0
2023	bioconductor-adamgui	1.18.0
2023	bioconductor-adductdata	1.16.0
2023	bioconductor-adductdata	1.18.0
2023	bioconductor-adductomicsr	1.16.0
2023	bioconductor-adductomicsr	1.18.0
2023	bioconductor-adimpute	1.10.0
2023	bioconductor-adimpute	1.12.0
2023	bioconductor-adsplit	1.70.0
2023	bioconductor-adsplit	1.72.0
2023	bioconductor-adverscarial	1.0.0
2023	bioconductor-affixcan	1.18.0
2023	bioconductor-affixcan	1.20.0
2023	bioconductor-affxparser	1.72.0
2023	bioconductor-affxparser	1.74.0
2023	bioconductor-affy	1.78.0
2023	bioconductor-affy	1.80.0
2023	bioconductor-affycomp	1.76.0
2023	bioconductor-affycomp	1.78.0
2023	bioconductor-affycompdata	1.38.0
2023	bioconductor-affycompdata	1.40.0
2023	bioconductor-affycontam	1.58.0
2023	bioconductor-affycontam	1.60.0
2023	bioconductor-affycoretools	1.72.0
2023	bioconductor-affycoretools	1.74.0
2023	bioconductor-affydata	1.48.0
2023	bioconductor-affydata	1.48.1
2023	bioconductor-affydata	1.50.0
2023	bioconductor-affyhgu133a2expr	1.36.0
2023	bioconductor-affyhgu133a2expr	1.38.0
2023	bioconductor-affyhgu133aexpr	1.38.0
2023	bioconductor-affyhgu133aexpr	1.40.0
2023	bioconductor-affyhgu133plus2expr	1.34.0
2023	bioconductor-affyhgu133plus2expr	1.36.0
2023	bioconductor-affyilm	1.52.0
2023	bioconductor-affyilm	1.54.0
2023	bioconductor-affyio	1.70.0
2023	bioconductor-affyio	1.72.0
2023	bioconductor-affylmgui	1.74.0
2023	bioconductor-affylmgui	1.76.0
2023	bioconductor-affymetrixdatatestfiles	0.38.0
2023	bioconductor-affymetrixdatatestfiles	0.40.0
2023	bioconductor-affymoe4302expr	1.38.0
2023	bioconductor-affymoe4302expr	1.40.0
2023	bioconductor-affyplm	1.76.1
2023	bioconductor-affyplm	1.78.0
2023	bioconductor-affyrnadegradation	1.46.0
2023	bioconductor-affyrnadegradation	1.48.0
2023	bioconductor-agdex	1.48.0
2023	bioconductor-agdex	1.50.0
2023	bioconductor-aggregatebiovar	1.10.0
2023	bioconductor-aggregatebiovar	1.12.0
2023	bioconductor-agilp	3.32.0
2023	bioconductor-agilp	3.34.0
2023	bioconductor-agimicrorna	2.50.0
2023	bioconductor-agimicrorna	2.52.0
2023	bioconductor-ahensdbs	1.1.10
2023	bioconductor-ahlrbasedbs	1.6.0
2023	bioconductor-ahlrbasedbs	1.7.0
2023	bioconductor-ahmassbank	1.0.0
2023	bioconductor-ahmassbank	1.2.0
2023	bioconductor-ahmeshdbs	1.6.0
2023	bioconductor-ahmeshdbs	1.7.0
2023	bioconductor-ahpubmeddbs	1.6.0
2023	bioconductor-ahpubmeddbs	1.7.0
2023	bioconductor-aims	1.32.0
2023	bioconductor-aims	1.34.0
2023	bioconductor-airpart	1.10.0
2023	bioconductor-airpart	1.8.0
2023	bioconductor-airway	1.20.0
2023	bioconductor-airway	1.22.0
2023	bioconductor-alabaster.base	1.0.0
2023	bioconductor-alabaster.base	1.2.1
2023	bioconductor-alabaster.bumpy	1.0.0
2023	bioconductor-alabaster.bumpy	1.2.0
2023	bioconductor-alabaster.files	1.0.0
2023	bioconductor-alabaster.mae	1.0.0
2023	bioconductor-alabaster.mae	1.2.0
2023	bioconductor-alabaster.matrix	1.0.0
2023	bioconductor-alabaster.matrix	1.2.0
2023	bioconductor-alabaster.ranges	1.0.0
2023	bioconductor-alabaster.ranges	1.2.0
2023	bioconductor-alabaster.sce	1.0.0
2023	bioconductor-alabaster.sce	1.2.0
2023	bioconductor-alabaster.schemas	1.0.2
2023	bioconductor-alabaster.schemas	1.2.0
2023	bioconductor-alabaster.se	1.0.0
2023	bioconductor-alabaster.se	1.2.0
2023	bioconductor-alabaster.spatial	1.0.0
2023	bioconductor-alabaster.spatial	1.2.0
2023	bioconductor-alabaster.string	1.0.1
2023	bioconductor-alabaster.string	1.2.0
2023	bioconductor-alabaster	1.0.0
2023	bioconductor-alabaster	1.2.0
2023	bioconductor-alabaster.vcf	1.0.0
2023	bioconductor-alabaster.vcf	1.2.0
2023	bioconductor-aldex2	1.32.0
2023	bioconductor-aldex2	1.34.0
2023	bioconductor-alevinqc	1.16.0
2023	bioconductor-alevinqc	1.18.0
2023	bioconductor-all	1.42.0
2023	bioconductor-all	1.44.0
2023	bioconductor-allelicimbalance	1.38.0
2023	bioconductor-allelicimbalance	1.40.0
2023	bioconductor-allmll	1.40.0
2023	bioconductor-allmll	1.42.0
2023	bioconductor-alphabeta	1.14.0
2023	bioconductor-alphabeta	1.16.0
2023	bioconductor-alphamissense.v2023.hg19	3.18.2
2023	bioconductor-alphamissense.v2023.hg38	3.18.2
2023	bioconductor-alpine	1.26.0
2023	bioconductor-alpinedata	1.26.0
2023	bioconductor-alpsnmr	4.2.0
2023	bioconductor-alpsnmr	4.4.0
2023	bioconductor-altcdfenvs	2.62.0
2023	bioconductor-altcdfenvs	2.64.0
2023	bioconductor-amaretto	1.16.0
2023	bioconductor-amaretto	1.18.0
2023	bioconductor-amountain	1.26.0
2023	bioconductor-amountain	1.28.0
2023	bioconductor-ampaffyexample	1.40.0
2023	bioconductor-ampaffyexample	1.42.0
2023	bioconductor-amplican	1.22.1
2023	bioconductor-amplican	1.24.0
2023	bioconductor-anaquin	2.24.0
2023	bioconductor-anaquin	2.26.0
2023	bioconductor-ancombc	2.2.0
2023	bioconductor-ancombc	2.4.0
2023	bioconductor-aneufinder	1.28.0
2023	bioconductor-aneufinder	1.30.0
2023	bioconductor-aneufinderdata	1.28.0
2023	bioconductor-aneufinderdata	1.30.0
2023	bioconductor-anf	1.22.0
2023	bioconductor-animalcules	1.16.0
2023	bioconductor-annaffy	1.72.0
2023	bioconductor-annaffy	1.74.0
2023	bioconductor-annmap	1.42.0
2023	bioconductor-annmap	1.44.0
2023	bioconductor-annotate	1.78.0
2023	bioconductor-annotate	1.80.0
2023	bioconductor-annotationdbi	1.62.2
2023	bioconductor-annotationdbi	1.64.1
2023	bioconductor-annotationfilter	1.24.0
2023	bioconductor-annotationfilter	1.26.0
2023	bioconductor-annotationforge	1.42.2
2023	bioconductor-annotationforge	1.44.0
2023	bioconductor-annotationhub	3.10.0
2023	bioconductor-annotationhub	3.8.0
2023	bioconductor-annotationhubdata	1.30.0
2023	bioconductor-annotationhubdata	1.32.0
2023	bioconductor-annotationtools	1.74.0
2023	bioconductor-annotationtools	1.76.0
2023	bioconductor-annotatr	1.26.0
2023	bioconductor-annotatr	1.28.0
2023	bioconductor-anopheles.db0	3.17.0
2023	bioconductor-anopheles.db0	3.18.0
2023	bioconductor-anota	1.48.0
2023	bioconductor-anota	1.50.0
2023	bioconductor-anota2seq	1.22.0
2023	bioconductor-anota2seq	1.24.0
2023	bioconductor-antiprofiles	1.40.0
2023	bioconductor-antiprofiles	1.42.0
2023	bioconductor-antiprofilesdata	1.36.0
2023	bioconductor-antiprofilesdata	1.38.0
2023	bioconductor-anvil	1.12.3
2023	bioconductor-anvil	1.14.0
2023	bioconductor-anvilbilling	1.10.0
2023	bioconductor-anvilbilling	1.12.0
2023	bioconductor-anvilpublish	1.10.0
2023	bioconductor-anvilpublish	1.12.0
2023	bioconductor-anvilworkflow	1.0.1
2023	bioconductor-anvilworkflow	1.2.0
2023	bioconductor-apalyzer	1.14.0
2023	bioconductor-apalyzer	1.16.0
2023	bioconductor-apcomplex	2.66.0
2023	bioconductor-apcomplex	2.68.0
2023	bioconductor-apeglm	1.22.1
2023	bioconductor-apeglm	1.24.0
2023	bioconductor-apl	1.4.0
2023	bioconductor-apl	1.6.0
2023	bioconductor-arabidopsis.db0	3.17.0
2023	bioconductor-arabidopsis.db0	3.18.0
2023	bioconductor-aracne.networks	1.26.0
2023	bioconductor-aracne.networks	1.28.0
2023	bioconductor-aroma.light	3.30.0
2023	bioconductor-aroma.light	3.32.0
2023	bioconductor-arrayexpress	1.60.0
2023	bioconductor-arrayexpress	1.62.0
2023	bioconductor-arraymvout	1.58.0
2023	bioconductor-arraymvout	1.60.0
2023	bioconductor-arrayquality	1.78.0
2023	bioconductor-arrayquality	1.80.0
2023	bioconductor-arrayqualitymetrics	3.56.0
2023	bioconductor-arrayqualitymetrics	3.58.0
2023	bioconductor-arrmdata	1.36.0
2023	bioconductor-arrmdata	1.38.0
2023	bioconductor-arrmnormalization	1.40.0
2023	bioconductor-arrmnormalization	1.42.0
2023	bioconductor-artms	1.18.0
2023	bioconductor-artms	1.20.0
2023	bioconductor-asafe	1.26.0
2023	bioconductor-asafe	1.28.0
2023	bioconductor-aseb	1.44.0
2023	bioconductor-aseb	1.46.3
2023	bioconductor-asgsca	1.34.0
2023	bioconductor-asgsca	1.36.0
2023	bioconductor-ashkenazimsonchr21	1.30.0
2023	bioconductor-ashkenazimsonchr21	1.32.0
2023	bioconductor-asics	2.16.0
2023	bioconductor-asics	2.18.0
2023	bioconductor-asicsdata	1.20.0
2023	bioconductor-asicsdata	1.22.0
2023	bioconductor-aspli	2.10.0
2023	bioconductor-aspli	2.12.0
2023	bioconductor-assessorf	1.18.0
2023	bioconductor-assessorf	1.20.0
2023	bioconductor-assessorfdata	1.18.0
2023	bioconductor-assessorfdata	1.20.0
2023	bioconductor-asset	2.18.0
2023	bioconductor-asset	2.20.0
2023	bioconductor-assign	1.36.0
2023	bioconductor-assign	1.38.0
2023	bioconductor-asurat	1.4.0
2023	bioconductor-asurat	1.6.0
2023	bioconductor-ataccogaps	1.2.0
2023	bioconductor-ataccogaps	1.4.0
2023	bioconductor-atacseqqc	1.24.0
2023	bioconductor-atacseqqc	1.26.0
2023	bioconductor-atacseqtfea	1.2.0
2023	bioconductor-atacseqtfea	1.4.0
2023	bioconductor-atena	1.6.0
2023	bioconductor-atena	1.8.0
2023	bioconductor-atsnp	1.16.0
2023	bioconductor-atsnp	1.18.0
2023	bioconductor-attract	1.52.0
2023	bioconductor-attract	1.54.0
2023	bioconductor-aucell	1.22.0
2023	bioconductor-aucell	1.24.0
2023	bioconductor-autonomics	1.10.2
2023	bioconductor-autonomics	1.8.0
2023	bioconductor-awfisher	1.14.0
2023	bioconductor-awfisher	1.16.0
2023	bioconductor-awst	1.10.0
2023	bioconductor-awst	1.8.0
2023	bioconductor-baalchip	1.26.0
2023	bioconductor-baalchip	1.28.0
2023	bioconductor-bacon	1.28.0
2023	bioconductor-bacon	1.30.0
2023	bioconductor-bader	1.38.0
2023	bioconductor-bader	1.40.0
2023	bioconductor-badregionfinder	1.28.0
2023	bioconductor-badregionfinder	1.30.0
2023	bioconductor-bags	2.40.0
2023	bioconductor-bags	2.42.0
2023	bioconductor-ballgown	2.32.0
2023	bioconductor-ballgown	2.34.0
2023	bioconductor-bambu	3.0.6
2023	bioconductor-bambu	3.0.8
2023	bioconductor-bambu	3.2.4
2023	bioconductor-bambu	3.4.0
2023	bioconductor-bamsignals	1.32.0
2023	bioconductor-bamsignals	1.34.0
2023	bioconductor-bandits	1.16.1
2023	bioconductor-bandits	1.18.1
2023	bioconductor-bandle	1.4.1
2023	bioconductor-bandle	1.6.0
2023	bioconductor-banocc	1.24.0
2023	bioconductor-banocc	1.26.0
2023	bioconductor-barcodetrackr	1.10.0
2023	bioconductor-barcodetrackr	1.8.0
2023	bioconductor-basecallqc	1.24.0
2023	bioconductor-basecallqc	1.26.0
2023	bioconductor-basespacer	1.44.0
2023	bioconductor-basespacer	1.46.0
2023	bioconductor-basic4cseq	1.36.0
2023	bioconductor-basic4cseq	1.38.0
2023	bioconductor-basics	2.12.3
2023	bioconductor-basics	2.14.0
2023	bioconductor-basicstan	1.2.0
2023	bioconductor-basicstan	1.4.0
2023	bioconductor-basicstarrseq	1.28.0
2023	bioconductor-basicstarrseq	1.30.0
2023	bioconductor-basilisk	1.12.1
2023	bioconductor-basilisk	1.14.1
2023	bioconductor-basilisk.utils	1.12.1
2023	bioconductor-basilisk.utils	1.14.1
2023	bioconductor-batchelor	1.16.0
2023	bioconductor-batchelor	1.18.0
2023	bioconductor-batchqc	1.28.0
2023	bioconductor-batchqc	1.30.0
2023	bioconductor-bayesknockdown	1.26.0
2023	bioconductor-bayesknockdown	1.28.0
2023	bioconductor-bayesspace	1.10.1
2023	bioconductor-bayesspace	1.12.0
2023	bioconductor-baynorm	1.18.1
2023	bioconductor-baynorm	1.20.0
2023	bioconductor-bayseq	2.36.0
2023	bioconductor-bbcanalyzer	1.30.0
2023	bioconductor-bbcanalyzer	1.32.0
2023	bioconductor-bcellviper	1.36.0
2023	bioconductor-bcellviper	1.38.0
2023	bioconductor-bcrank	1.62.0
2023	bioconductor-bcrank	1.64.0
2023	bioconductor-bcseq	1.22.0
2023	bioconductor-bcseq	1.24.0
2023	bioconductor-bdmmacorrect	1.18.1
2023	bioconductor-beachmat.hdf5	1.0.0
2023	bioconductor-beachmat	2.16.0
2023	bioconductor-beachmat	2.18.0
2023	bioconductor-beadarray	2.50.0
2023	bioconductor-beadarray	2.52.0
2023	bioconductor-beadarrayexampledata	1.38.0
2023	bioconductor-beadarrayexampledata	1.40.0
2023	bioconductor-beadarraysnp	1.66.0
2023	bioconductor-beadarraysnp	1.68.0
2023	bioconductor-beadarrayusecases	1.38.0
2023	bioconductor-beadarrayusecases	1.40.0
2023	bioconductor-beaddatapackr	1.52.0
2023	bioconductor-beaddatapackr	1.54.0
2023	bioconductor-beadsorted.saliva.epic	1.10.0
2023	bioconductor-beadsorted.saliva.epic	1.8.0
2023	bioconductor-bearscc	1.20.0
2023	bioconductor-bearscc	1.22.0
2023	bioconductor-beat	1.38.0
2023	bioconductor-beat	1.40.0
2023	bioconductor-beclear	2.16.0
2023	bioconductor-beclear	2.18.0
2023	bioconductor-beer	1.4.0
